Plan file, plan diff, Entropy, Cosine, Hamming Similarity, Hamming Dist, Euclidean, Jaccard

agent_157.plans , s1-s2, 0.033048, 0.000000, 0.000000, 0.003537, 0.001834, 0.000000 
agent_157.plans , s1-s3, 0.033048, 0.000000, 0.000000, 0.003537, 0.001834, 0.000000 
agent_157.plans , s2-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 0.000000 

agent_158.plans , s1-s2, 0.038071, 0.333333, 0.000000, 0.003537, 0.002083, 1.000000 
agent_158.plans , s1-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 1.000000 
agent_158.plans , s2-s3, 0.038071, 0.333333, 0.000000, 0.003537, 0.002083, 1.000000 

agent_159.plans , s1-s2, 1.272156, 0.019927, 0.000000, 0.041556, 0.024895, 0.000000 
agent_159.plans , s1-s3, 1.333679, 0.008310, 11.428571, 0.038019, 0.026209, 0.000000 
agent_159.plans , s2-s3, 0.153689, 0.133972, 100.000000, 0.010610, 0.008835, 0.000000 

agent_16.plans , s1-s2, 0.488500, 0.114488, 100.000000, 0.030946, 0.010259, 0.000000 
agent_16.plans , s1-s3, 0.447180, 0.216110, 0.000000, 0.038019, 0.009866, 0.000000 
agent_16.plans , s2-s3, 0.224108, 0.216954, 12.500000, 0.037135, 0.005220, 0.000000 

agent_160.plans , s1-s2, 0.071712, 0.028761, 0.000000, 0.008842, 0.002755, 0.000000 
agent_160.plans , s1-s3, 0.071712, 0.028761, 0.000000, 0.008842, 0.002755, 0.000000 
agent_160.plans , s2-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 0.000000 

agent_161.plans , s1-s2, 0.532575, 0.035273, 43.750000, 0.045977, 0.010507, 0.000000 
agent_161.plans , s1-s3, 0.451326, 0.183891, 100.000000, 0.038019, 0.009866, 0.000000 
agent_161.plans , s2-s3, 0.279426, 0.033190, 0.000000, 0.052166, 0.005692, 0.000000 

agent_162.plans , s1-s2, 1.184470, 0.092229, 0.000000, 0.028294, 0.023936, 0.000000 
agent_162.plans , s1-s3, 1.168040, 0.114997, 100.000000, 0.018568, 0.023883, 0.000000 
agent_162.plans , s2-s3, 0.090831, 0.568773, 45.454545, 0.023873, 0.003367, 0.000000 

agent_163.plans , s1-s2, 0.256077, 0.064261, 0.000000, 0.027409, 0.006957, 0.000000 
agent_163.plans , s1-s3, 0.242261, 0.143516, 100.000000, 0.020336, 0.006926, 0.000000 
agent_163.plans , s2-s3, 0.113537, 0.150454, 62.500000, 0.022989, 0.003719, 0.000000 

agent_164.plans , s1-s2, 0.488560, 0.000000, 0.000000, 0.020336, 0.010884, 0.000000 
agent_164.plans , s1-s3, 0.488560, 0.000000, 0.000000, 0.020336, 0.010884, 0.000000 
agent_164.plans , s2-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 0.000000 

agent_165.plans , s1-s2, 0.436858, 0.000000, 100.000000, 0.036251, 0.008668, 0.000000 
agent_165.plans , s1-s3, 0.378651, 0.170974, 0.000000, 0.038904, 0.008116, 0.000000 
agent_165.plans , s2-s3, 0.219282, 0.153077, 100.000000, 0.036251, 0.005115, 0.000000 

agent_166.plans , s1-s2, 0.596304, 0.335607, 0.000000, 0.037135, 0.012782, 0.000000 
agent_166.plans , s1-s3, 0.254959, 0.845118, 90.909091, 0.019452, 0.006741, 0.000000 
agent_166.plans , s2-s3, 0.293458, 0.418134, 100.000000, 0.017683, 0.010860, 0.000000 

agent_167.plans , s1-s2, 1.204103, 0.058928, 0.000000, 0.028294, 0.023936, 0.000000 
agent_167.plans , s1-s3, 1.185971, 0.087030, 100.000000, 0.018568, 0.023883, 0.000000 
agent_167.plans , s2-s3, 0.095061, 0.416623, 45.454545, 0.023873, 0.003367, 0.000000 

agent_168.plans , s1-s2, 0.000000, 1.000000, nan, 0.000000, 0.000000, 1.000000 
agent_168.plans , s1-s3, 0.000000, 1.000000, nan, 0.000000, 0.000000, 1.000000 
agent_168.plans , s2-s3, 0.000000, 1.000000, nan, 0.000000, 0.000000, 1.000000 

agent_169.plans , s1-s2, 1.156721, 0.000000, 0.000000, 0.056587, 0.023082, 0.000000 
